date, pm25
2024/11/1, 18
2024/11/2, 43
2024/11/3, 33
2024/11/4, 28
2024/11/5, 21
2024/11/6, 17
2024/11/7, 22
2024/11/8, 29
2024/11/9, 48
2024/11/10, 26
2024/11/11, 15
2024/11/12, 29
2024/11/13, 39
2024/11/14, 28
2024/11/15, 40
2024/11/16, 46
2024/11/17, 47
2024/11/18, 65
2024/10/1, 26
2024/10/2, 27
2024/10/3, 41
2024/10/4, 23
2024/10/5, 36
2024/10/6, 35
2024/10/8, 23
2024/10/9, 33
2024/10/10, 33
2024/10/11, 43
2024/10/12, 29
2024/10/13, 25
2024/10/14, 18
2024/10/15, 16
2024/10/16, 18
2024/10/17, 35
2024/10/18, 33
2024/10/19, 45
2024/10/20, 54
2024/10/21, 50
2024/10/22, 44
2024/10/23, 31
2024/10/24, 35
2024/10/25, 32
2024/10/26, 23
2024/10/27, 44
2024/10/28, 33
2024/10/29, 46
2024/10/30, 50
2024/10/31, 20
2024/7/1, 16
2024/7/2, 25
2024/7/3, 18
2024/7/4, 45
2024/7/5, 47
2024/7/6, 25
2024/7/7, 51
2024/7/8, 38
2024/7/9, 31
2024/7/10, 30
2024/7/11, 40
2024/7/12, 37
2024/7/13, 48
2024/7/14, 26
2024/7/15, 30
2024/7/16, 26
2024/7/17, 33
2024/7/18, 13
2024/7/19, 32
2024/7/20, 47
2024/7/21, 41
2024/7/22, 35
2024/7/23, 50
2024/7/24, 31
2024/7/25, 23
2024/7/26, 33
2024/7/27, 38
2024/7/28, 40
2024/7/29, 26
2024/7/30, 29
2024/7/31, 28
2024/8/1, 25
2024/8/2, 34
2024/8/3, 48
2024/8/4, 35
2024/8/5, 35
2024/8/6, 32
2024/8/7, 22
2024/8/8, 29
2024/8/9, 17
2024/8/10, 17
2024/8/11, 19
2024/8/12, 24
2024/8/13, 37
2024/8/14, 48
2024/8/15, 42
2024/8/16, 22
2024/8/17, 21
2024/8/18, 27
2024/8/19, 38
2024/8/20, 17
2024/8/21, 25
2024/8/22, 39
2024/8/23, 44
2024/8/24, 61
2024/8/25, 45
2024/8/26, 45
2024/8/27, 48
2024/8/28, 16
2024/8/29, 25
2024/8/30, 24
2024/8/31, 24
2024/9/1, 29
2024/9/2, 23
2024/9/3, 31
2024/9/4, 37
2024/9/5, 48
2024/9/6, 20
2024/9/7, 14
2024/9/8, 32
2024/9/9, 22
2024/9/10, 32
2024/9/11, 40
2024/9/12, 55
2024/9/13, 48
2024/9/14, 41
2024/9/15, 36
2024/9/16, 40
2024/9/17, 47
2024/9/18, 44
2024/9/19, 49
2024/9/20, 50
2024/9/21, 50
2024/9/22, 30
2024/9/23, 15
2024/9/24, 33
2024/9/25, 25
2024/9/26, 35
2024/9/27, 23
2024/9/28, 25
2024/9/29, 22
2024/9/30, 29
2024/4/1, 40
2024/4/2, 23
2024/4/3, 10
2024/4/4, 15
2024/4/5, 18
2024/4/6, 21
2024/4/7, 27
2024/4/8, 27
2024/4/9, 20
2024/4/10, 32
2024/4/11, 28
2024/4/12, 21
2024/4/13, 21
2024/4/14, 35
2024/4/15, 27
2024/4/16, 35
2024/4/17, 22
2024/4/18, 15
2024/4/19, 17
2024/4/20, 13
2024/4/21, 18
2024/4/22, 30
2024/4/23, 28
2024/4/24, 18
2024/4/25, 38
2024/4/26, 43
2024/4/27, 36
2024/4/28, 33
2024/4/29, 23
2024/4/30, 20
2024/5/1, 20
2024/5/2, 34
2024/5/3, 30
2024/5/4, 30
2024/5/5, 16
2024/5/6, 24
2024/5/7, 30
2024/5/8, 27
2024/5/9, 20
2024/5/10, 20
2024/5/11, 20
2024/5/12, 37
2024/5/13, 40
2024/5/14, 42
2024/5/15, 25
2024/5/16, 41
2024/5/17, 43
2024/5/18, 42
2024/5/19, 29
2024/5/20, 45
2024/5/21, 48
2024/5/22, 24
2024/5/23, 37
2024/5/24, 35
2024/5/25, 13
2024/5/26, 33
2024/5/27, 16
2024/5/28, 23
2024/5/29, 17
2024/5/30, 19
2024/5/31, 33
2024/6/1, 35
2024/6/2, 31
2024/6/3, 38
2024/6/4, 34
2024/6/5, 20
2024/6/6, 14
2024/6/7, 20
2024/6/8, 36
2024/6/9, 20
2024/6/10, 21
2024/6/11, 29
2024/6/12, 32
2024/6/13, 40
2024/6/14, 31
2024/6/15, 27
2024/6/16, 32
2024/6/17, 52
2024/6/18, 29
2024/6/19, 43
2024/6/20, 39
2024/6/21, 46
2024/6/22, 35
2024/6/23, 11
2024/6/24, 25
2024/6/25, 27
2024/6/26, 24
2024/6/27, 10
2024/6/28, 35
2024/6/29, 34
2024/6/30, 12
2024/1/1, 13
2024/1/2, 29
2024/1/3, 29
2024/1/4, 19
2024/1/5, 38
2024/1/6, 62
2024/1/7, 59
2024/1/8, 41
2024/1/9, 24
2024/1/10, 24
2024/1/11, 46
2024/1/12, 38
2024/1/13, 22
2024/1/14, 27
2024/1/15, 38
2024/1/16, 29
2024/1/17, 28
2024/1/18, 47
2024/1/19, 31
2024/1/20, 35
2024/1/21, 42
2024/1/22, 35
2024/1/23, 47
2024/1/24, 56
2024/1/25, 38
2024/1/26, 20
2024/1/27, 23
2024/1/28, 21
2024/1/29, 34
2024/1/30, 38
2024/1/31, 26
2024/2/1, 37
2024/2/2, 20
2024/2/3, 52
2024/2/4, 49
2024/2/5, 29
2024/2/6, 51
2024/2/7, 67
2024/2/8, 43
2024/2/9, 18
2024/2/10, 24
2024/2/11, 28
2024/2/12, 38
2024/2/13, 30
2024/2/14, 43
2024/2/15, 23
2024/2/16, 20
2024/2/17, 21
2024/2/18, 23
2024/2/19, 45
2024/2/20, 58
2024/2/21, 57
2024/2/22, 63
2024/2/23, 34
2024/2/24, 18
2024/2/25, 38
2024/2/26, 43
2024/2/27, 55
2024/2/28, 18
2024/2/29, 21
2024/3/1, 28
2024/3/2, 47
2024/3/3, 44
2024/3/4, 44
2024/3/5, 18
2024/3/6, 17
2024/3/7, 32
2024/3/8, 35
2024/3/9, 19
2024/3/10, 19
2024/3/11, 29
2024/3/12, 34
2024/3/13, 54
2024/3/14, 33
2024/3/15, 23
2024/3/16, 28
2024/3/17, 14
2024/3/18, 12
2024/3/19, 23
2024/3/20, 21
2024/3/21, 33
2024/3/22, 36
2024/3/23, 24
2024/3/24, 23
2024/3/25, 31
2024/3/26, 25
2024/3/27, 23
2024/3/28, 29
2024/3/29, 27
2024/3/30, 39
2024/3/31, 19
2023/10/1, 38
2023/10/2, 47
2023/10/3, 41
2023/10/4, 48
2023/10/5, 40
2023/10/6, 14
2023/10/7, 12
2023/10/8, 15
2023/10/9, 18
2023/10/10, 19
2023/10/11, 34
2023/10/12, 35
2023/10/13, 35
2023/10/14, 11
2023/10/15, 10
2023/10/16, 16
2023/10/17, 34
2023/10/18, 33
2023/10/19, 42
2023/10/20, 22
2023/10/22, 18
2023/10/23, 22
2023/10/24, 32
2023/10/25, 47
2023/10/26, 34
2023/10/27, 37
2023/10/28, 12
2023/10/29, 23
2023/10/30, 25
2023/10/31, 42
2023/11/1, 29
2023/11/2, 32
2023/11/3, 38
2023/11/4, 56
2023/11/5, 63
2023/11/6, 30
2023/11/7, 18
2023/11/8, 40
2023/11/9, 24
2023/11/10, 23
2023/11/11, 37
2023/11/12, 30
2023/11/13, 27
2023/11/14, 47
2023/11/15, 49
2023/11/16, 49
2023/11/17, 27
2023/11/18, 38
2023/11/19, 35
2023/11/20, 36
2023/11/21, 26
2023/11/22, 28
2023/11/23, 30
2023/11/24, 17
2023/11/25, 28
2023/11/26, 47
2023/11/27, 22
2023/11/28, 29
2023/11/29, 43
2023/11/30, 46
2023/12/1, 40
2023/12/2, 19
2023/12/3, 30
2023/12/4, 23
2023/12/5, 39
2023/12/6, 39
2023/12/7, 45
2023/12/8, 38
2023/12/9, 25
2023/12/10, 13
2023/12/11, 31
2023/12/12, 26
2023/12/13, 32
2023/12/14, 47
2023/12/15, 51
2023/12/16, 45
2023/12/17, 33
2023/12/18, 19
2023/12/19, 30
2023/12/20, 36
2023/12/21, 63
2023/12/22, 55
2023/12/23, 52
2023/12/24, 55
2023/12/25, 33
2023/12/26, 17
2023/12/27, 29
2023/12/28, 16
2023/12/29, 17
2023/12/30, 37
2023/12/31, 24
2023/7/1, 68
2023/7/2, 49
2023/7/3, 45
2023/7/4, 70
2023/7/5, 59
2023/7/6, 33
2023/7/7, 38
2023/7/8, 28
2023/7/9, 38
2023/7/10, 29
2023/7/11, 36
2023/7/12, 29
2023/7/13, 30
2023/7/14, 30
2023/7/15, 45
2023/7/16, 92
2023/7/17, 51
2023/7/18, 23
2023/7/19, 39
2023/7/20, 35
2023/7/21, 27
2023/7/22, 39
2023/7/23, 39
2023/7/24, 77
2023/7/25, 108
2023/7/26, 67
2023/7/27, 46
2023/7/28, 45
2023/7/29, 22
2023/7/31, 25
2023/8/1, 40
2023/8/2, 39
2023/8/3, 53
2023/8/4, 47
2023/8/5, 55
2023/8/6, 35
2023/8/7, 26
2023/8/8, 47
2023/8/9, 51
2023/8/10, 51
2023/8/11, 35
2023/8/12, 17
2023/8/13, 22
2023/8/14, 23
2023/8/15, 36
2023/8/16, 41
2023/8/17, 42
2023/8/18, 53
2023/8/19, 52
2023/8/20, 49
2023/8/21, 58
2023/8/22, 62
2023/8/23, 58
2023/8/24, 56
2023/8/25, 18
2023/8/26, 18
2023/8/27, 16
2023/8/28, 48
2023/8/29, 46
2023/8/30, 13
2023/8/31, 25
2023/9/1, 24
2023/9/2, 34
2023/9/3, 33
2023/9/4, 28
2023/9/5, 25
2023/9/6, 37
2023/9/7, 10
2023/9/8, 20
2023/9/9, 35
2023/9/10, 54
2023/9/11, 32
2023/9/12, 25
2023/9/13, 27
2023/9/14, 23
2023/9/15, 41
2023/9/16, 46
2023/9/17, 33
2023/9/18, 23
2023/9/19, 34
2023/9/20, 49
2023/9/21, 58
2023/9/22, 55
2023/9/23, 39
